Mencione uno de los dos eventos estacionales que impulsaron la demanda en el Q3 2017.,El regreso a clases o la preparación de fin de año.
¿A qué se atribuye la recuperación parcial del margen en el Q3 ($13.8\%$) frente al Q2?,A una normalización de los descuentos tras la campaña de impulso de volumen previa.
Comparación: ¿Qué trimestre tuvo el mayor volumen de órdenes únicas?,"El Q3 2017, con $448$ órdenes."
Comparación: ¿Qué trimestre registró el mayor monto de ventas totales?,"El Q3 2017, con $196,251.96$."
Comparación: ¿En qué trimestre se observó el ticket promedio más bajo?,"En el Q2 2017, con un valor de $364.48$."
¿Cuál es la relación entre el volumen de órdenes y el margen observado en el Q2 2017?,El volumen creció a $367$ órdenes a costa de una compresión del margen al $11.6\%$.
"En el contexto de retail analizado, el Q1 suele mostrar una _____ natural tras el Q4.",desaceleración
¿Qué categoría dominaba las ventas cuando el ticket promedio era el más alto ($513.10$)?,La categoría Technology.
Concepto: Variación de ventas Q3 vs Q2,Valor: $+46.7\%$.
Concepto: Variación de ventas Q2 vs Q1,Valor: $+8.6\%$.
Concepto: Variación de ventas Q1 vs Q4 anterior,Valor: $-47.8\%$.
¿En qué trimestre se registró la ganancia total (Profit) más baja del período?,"En el Q2 2017, con $15,499.21$."
¿Cómo se describe la tendencia del ticket promedio entre el Q2 ($364.48$) y el Q3 ($438.06$)?,Se observa un crecimiento o recuperación del ticket promedio.
La categoría _____ lideró las ventas en los trimestres Q2 y Q3 del 2017.,Office Supplies
¿Cuál fue el margen de ganancia en el trimestre que registró el mayor crecimiento porcentual de ventas?,El margen fue del $13.8\%$ (correspondiente al Q3).
¿Qué efecto tuvieron los descuentos en el número de órdenes del Q2?,Impulsaron el crecimiento del volumen de órdenes hasta $367$.
¿Cuál fue la ganancia total en el trimestre con el ticket promedio más alto?,"La ganancia fue de $23,506.20$ (correspondiente al Q1)."
¿Qué periodo del año suele concentrar las compras de fin de año según el informe?,El Q4 (cuarto trimestre).
El informe Q3 atribuye el repunte de ventas a un patrón estacional que incluye el segundo _____ del año.,semestre
Métrica: Órdenes únicas en Q1.,$240$ órdenes.
Métrica: Margen de ganancia en Q3.,$13.8\%$.
Métrica: Ticket promedio en Q1.,$513.10$.
¿Qué ocurrió con la categoría Technology en el Q2 2017?,Fue desplazada por Office Supplies como la categoría con mayor volumen de venta.
¿Cuál es la ganancia total acumulada mencionada para el trimestre con menor margen?,"La ganancia total fue de $15,499.21$ (en el Q2)."
La normalización de descuentos en Q3 resultó en una _____ parcial del margen.,recuperación
¿Qué relación existe entre Office Supplies y el valor unitario de los productos según el informe?,Office Supplies tiene un menor valor unitario en comparación con otras categorías como Technology.
¿Qué trimestre mostró el mayor crecimiento absoluto en la ganancia total respecto al anterior?,"El Q3 2017 (pasó de $15,499.21$ a $26,985.13$)."
¿Qué porcentaje representa el margen más bajo del año 2017 hasta el Q3?,El $11.6\%$.
"En el Q1, a pesar de la menor facturación, se registró el _____ más alto.",margen de ganancia
